date,final_relative_cost_yuan,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,unused_surplus_kwh,charge_kwh,discharge_kwh
2025-02-01,61118.46628095938,61118.46628095938,0.0,0.0,0.0,56694.45246666667,25178.625493827156,20394.686650000003
2025-02-02,60851.06779044759,60767.24909043092,0.0,83.81870001666547,13.376516666666475,12246.348183333335,25170.682592592588,20388.2529
2025-02-03,60572.4030444349,60554.63540236823,0.0,17.767642066666546,8.294466666666608,10069.529650000002,25132.703415637858,20357.489766666666
2025-02-04,60443.307716170515,60242.642957170516,0.0,200.66475900000069,56.56933333333336,8724.027183333337,25027.146255144027,20271.988466666666
2025-02-05,59861.418578069424,59794.062944094425,0.0,67.35563397500044,25.03514999999993,8609.417950000005,24940.614794238678,20201.897983333332
2025-02-06,59406.24994354275,59291.61826638442,0.0,114.63167715833202,23.113149999999678,8472.924933333336,24940.614794238678,20201.897983333332
2025-02-07,59303.79313514775,59303.79313514775,0.0,0.0,0.0,56929.63823333334,24940.614794238678,20201.897983333332
2025-02-08,59300.38017448109,59300.38017448109,0.0,0.0,0.0,57150.17351666667,24940.614794238678,20201.897983333332
2025-02-09,59289.880068846665,58823.06165418,0.0,466.8184146666666,173.30726666666658,8738.537666666667,24833.333333333332,20115.0
2025-02-10,58522.299748503334,58363.51874158667,0.0,158.7810069166668,23.88216666666665,13269.867083333336,24833.333333333332,20115.0
2025-02-11,58085.663942783336,58046.32270445,0.0,39.34123833333387,7.790000000000077,11906.354533333335,24833.333333333332,20115.0
2025-02-12,57345.82972251667,57163.14685671667,0.0,182.68286579999995,32.65341666666666,10682.698883333336,24833.333333333332,20115.0
2025-02-13,56501.954323683705,56221.26323827537,0.0,280.6910854083332,77.07239999999967,13442.408650000003,24740.850946502058,20040.08926666667
2025-02-14,56245.878692462036,56245.878692462036,0.0,0.0,0.0,54925.21325,24740.850946502058,20040.08926666667
2025-02-15,56245.878692462036,56245.878692462036,0.0,0.0,0.0,55446.92396666667,24740.850946502058,20040.08926666667
2025-02-16,56054.36702160444,55404.41441286278,0.0,649.9526087416615,133.0684166666656,8333.956133333339,24560.852839506173,19894.290800000002
2025-02-17,55602.642330683695,54880.3959845337,0.0,722.2463461499956,162.32096666666587,11824.48001666667,24418.663539094647,19779.11746666667
2025-02-18,54659.67254142463,54281.52054620796,0.0,378.1519952166665,63.965566666666746,10020.953400000004,24295.770905349793,19679.574433333335
2025-02-19,55369.625376772965,53913.6230989813,0.0,1456.0022777916672,423.81524999999965,9073.889983333336,24278.29053497942,19665.415333333334
2025-02-20,54280.8989075337,53280.55095300871,0.0,1000.3479545249983,261.4734333333323,9975.765600000002,24181.695020576128,19587.172966666665
2025-02-21,53316.661050247036,53316.661050247036,0.0,0.0,0.0,55209.30048333334,24181.695020576128,19587.172966666665
2025-02-22,53330.9307749137,53314.59289158037,0.0,16.3378833333333,7.6416666666666515,52927.604633333336,24181.695020576128,19587.172966666665
2025-02-23,53840.19410906556,52955.878667307225,0.0,884.3154417583356,270.1797333333335,9062.290450000002,24016.283271604934,19453.189449999998
2025-02-24,53359.57867943794,52381.160717221275,0.0,978.4179622166655,200.1798999999994,11555.689800000004,23797.410205761313,19275.902266666668
2025-02-25,52338.61410316941,51616.64712137774,0.0,721.9669817916678,195.8548833333332,12917.006733333335,23347.551141975306,18911.516425000005
2025-02-26,51080.759753188046,50646.81087561304,0.0,433.94887757500277,135.04298333333384,8388.233033333336,23198.732272839505,18790.973141
2025-02-27,50556.8005230442,49856.452927535865,0.0,700.3475955083336,136.83698333333325,9192.010366666671,23197.473766666666,18789.953751
2025-02-28,49910.87305795911,49910.87305795911,0.0,0.0,0.0,52779.288583333335,23197.473766666666,18789.953750999997
2025-03-01,49910.87305795911,49910.87305795911,0.0,0.0,0.0,52413.116200000004,23197.473766666666,18789.953750999997
2025-03-02,59888.652627927695,49354.3897798277,0.0,10534.262848099997,2790.6616999999987,5745.548566666669,23239.116349999997,18823.6842435
2025-03-03,54778.345420937534,49254.419568045865,0.0,5523.925852891665,1354.399133333332,4549.085716666669,23216.651266666664,18805.487526
2025-03-04,50423.7706535092,49050.61935781753,0.0,1373.1512956916645,495.5493833333328,6244.968183333334,23216.651266666664,18805.487526
2025-03-05,49603.1448306118,48625.195166561796,0.0,977.9496640500013,216.0644500000002,8579.52596666667,23251.685899999997,18833.865579
2025-03-06,49284.16474824503,48402.14123277003,0.0,882.0235154749994,212.78619999999967,8452.075316666667,23261.5041,18841.818321000002
2025-03-07,48478.782172851534,48478.782172851534,0.0,0.0,0.0,53353.68588333333,23261.5041,18841.818321000002
2025-03-08,48478.782172851534,48478.782172851534,0.0,0.0,0.0,55212.831900000005,23261.5041,18841.818321000002
2025-03-09,48294.143883638884,47685.35843538055,0.0,608.7854482583334,108.82621666666671,9929.95373333334,23314.65178333333,18884.867944499998
2025-03-10,50575.04493140583,47544.77278421417,0.0,3030.2721471916607,1096.3234166666648,5997.708566666668,23327.5025,18895.277024999996
2025-03-11,47710.447496910136,47260.199404135135,0.0,450.2480927749999,122.64651666666634,8784.458783333337,23360.09553333333,18921.677381999998
2025-03-12,47676.35178913983,46776.35568097317,0.0,899.996108166664,266.49593333333223,9805.217566666668,23263.005823045263,18843.034716666665
2025-03-13,53390.5387523115,46490.1916904615,0.0,6900.347061849996,1832.409616666665,5849.608883333333,23263.005823045263,18843.034716666665
2025-03-14,46822.97928016792,46822.97928016792,0.0,0.0,0.0,56118.26916666667,23271.16705761317,18849.645316666665
2025-03-15,46835.017645501255,46820.89971883459,0.0,14.117926666666708,6.603333333333353,51225.310000000005,23271.16705761317,18849.645316666665
2025-03-16,47268.944031043684,46438.84306141869,0.0,830.1009696249979,202.58369999999957,8431.888466666669,23228.556584362137,18815.130833333333
2025-03-17,47074.7414630812,46169.883101522864,0.0,904.8583615583325,187.16276666666647,13579.963983333337,23270.22736625514,18848.884166666667
2025-03-18,46234.698605626196,45922.16103100953,0.0,312.5375746166667,103.02681666666649,9873.601416666668,23270.22736625514,18848.884166666667
2025-03-19,45901.094158339016,45649.59840218901,0.0,251.49575614999856,89.74478333333309,11154.901866666669,23181.595679012345,18777.0925
2025-03-20,46458.894618872044,45291.96258304704,0.0,1166.9320358250018,252.25085,8135.295250000004,22787.722839506172,18458.0555
2025-03-21,45352.78627297575,45352.78627297575,0.0,0.0,0.0,58123.737433333336,22792.13024691358,18461.6255
2025-03-22,45362.653142975745,45352.78627297575,0.0,9.866870000000018,4.615000000000009,54280.61721666667,22792.13024691358,18461.6255
2025-03-23,45432.59732899136,44514.09339430802,0.0,918.5039346833343,228.21871666666652,10414.314033333336,22313.495967078186,18073.93173333333
2025-03-24,43981.19955325805,43514.94338247471,0.0,466.25617078333147,189.64819999999918,9679.98571666667,22090.31477366255,17893.154966666665
2025-03-25,45692.797997717,42975.92232556699,0.0,2716.8756721500035,678.5067500000005,6444.184816666667,21993.481687242795,17814.720166666662
2025-03-26,43317.047996046356,42725.30270752136,0.0,591.7452885249984,203.22976666666602,10977.607650000004,21947.34983539094,17777.353366666663
2025-03-27,43631.9670839942,42271.7311726192,0.0,1360.2359113750001,411.77796666666677,7393.810850000005,21866.5470164609,17711.90308333333
2025-03-28,42373.0992165942,42373.0992165942,0.0,0.0,0.0,55034.51198333334,21866.5470164609,17711.90308333333
2025-03-29,42373.0992165942,42373.0992165942,0.0,0.0,0.0,58149.183566666674,21866.5470164609,17711.90308333333
