mode,emergency_interval_fraction,emergency_days,max_daily_cost,p95_daily_cost,tail5_mean_cost,emergency_cost_share
q2,0.19280189620758484,330,85284.11532895785,67284.96562461079,71024.390287066,0.07883226728594135
q4_2,0.19178310046573518,331,96029.77269978149,78797.94039464822,83271.28632446763,0.07840992561473033
q3,0.24014471057884232,334,78340.52678691997,68269.3850793077,71191.53269152938,0.1240768704702542
q4_3,0.2403318363273453,334,93916.63652172855,79620.19072033325,84263.75687661483,0.12171805492472808
