phase,mode,variant,date,variant_minus_reference_yuan,emergency_cost_difference,plan_cost_difference,adjustment_difference
validation,q4_2,shuffle_20260914,2025-01-24,-2145.882857383436,30.80862123888903,-2176.691478622324,0.0
validation,q4_2,shuffle_20260914,2025-01-12,-2029.4311359199637,35.0095732583336,-2064.4407091782778,0.0
validation,q4_2,shuffle_20260915,2025-01-19,-5618.668107398495,491.98191182083343,-6110.650019219334,0.0
validation,q4_2,shuffle_20260915,2025-01-17,-5357.5861832078845,0.0,-5357.5861832078845,0.0
validation,q4_2,shuffle_20260915,2025-01-12,-3683.6134742674913,131.5034080333325,-3815.1168823008193,0.0
validation,q4_2,shuffle_20260915,2025-01-18,-3072.4553062084196,82.63246139999912,-3155.08776760842,0.0
validation,q4_2,shuffle_20260915,2025-01-13,-2738.8253940466384,23.295044875000094,-2762.1204389216437,0.0
validation,q4_2,shuffle_20260916,2025-01-18,-5657.327247906724,576.3185551312487,-6233.645803037973,0.0
validation,q4_2,shuffle_20260916,2025-01-17,-5004.186141155358,0.0,-5004.186141155358,0.0
validation,q4_2,shuffle_20260916,2025-01-19,-4959.480687771298,98.49702062500222,-5057.977708396313,0.0
validation,q4_2,shuffle_20260916,2025-01-13,-3047.130579319666,37.69686445416639,-3084.8274437738437,0.0
validation,q4_2,shuffle_20260916,2025-01-24,-2709.4079791400873,216.51545287777668,-2925.923432017862,0.0
validation,q4_2,shuffle_20260917,2025-01-18,-5894.790439488115,276.1123466680539,-6170.902786156166,0.0
validation,q4_2,shuffle_20260917,2025-01-19,-5587.2983996108815,0.0,-5587.2983996108815,0.0
