phase,mode,variant,month,total_cost_yuan,emergency_cost_yuan,emergency_share
formal,q2,shuffle_20260917,2025-03,1220265.6082044202,108214.25622535206,0.08868090315565452
formal,q2,shuffle_20260917,2025-04,1019266.8124055015,86108.48620364166,0.08448081028011002
formal,q2,shuffle_20260917,2025-05,1093805.008559357,130115.69983009963,0.11895694279318955
formal,q2,shuffle_20260917,2025-06,1568846.7885289101,251910.56621562882,0.16057053375609895
formal,q2,shuffle_20260917,2025-07,1651280.0303794306,110597.5946159312,0.0669768861617724
formal,q2,shuffle_20260917,2025-08,1403340.2165546569,94926.98107121668,0.0676435977187856
formal,q2,shuffle_20260917,2025-09,1254093.3131014288,111994.59735630685,0.08930324098398963
formal,q2,shuffle_20260917,2025-10,1220068.0593068476,112522.58939617287,0.09222648567662682
formal,q2,shuffle_20260917,2025-11,1322764.5220294269,55790.77689532074,0.0421774064591064
formal,q2,shuffle_20260917,2025-12,1793190.4427682061,101461.16530022286,0.05658136630685694
formal,q2,terminal_0,2025-02,1271011.7308581558,26645.529121390955,0.020964030838173737
formal,q2,terminal_0,2025-03,1221060.9679691189,108961.18400323538,0.08923484319088566
formal,q2,terminal_0,2025-04,1021114.1740347242,87601.26650890414,0.08578988396837703
formal,q2,terminal_0,2025-05,1093409.1531549604,131495.18470465206,0.12026164617813133
formal,q2,terminal_0,2025-06,1559221.1917616639,227778.86443249267,0.1460850234950565
formal,q2,terminal_0,2025-07,1637741.8958106986,118213.05938678159,0.07218051860868159
formal,q2,terminal_0,2025-08,1401946.8134544438,91871.63739890236,0.06553147132060422
formal,q2,terminal_0,2025-09,1257099.1179704964,112467.25097628124,0.08946569874128318
formal,q2,terminal_0,2025-10,1221891.1176046454,111779.32552650411,0.09148059423300545
formal,q2,terminal_0,2025-11,1324768.8006414725,53298.01458638745,0.04023193674290923
formal,q2,terminal_0,2025-12,1799728.136676919,97487.84270140894,0.054168093899678596
formal,q2,terminal_05,2025-02,1271011.7308581558,26645.529121390955,0.020964030838173737
formal,q2,terminal_05,2025-03,1221060.9679691189,108961.18400323538,0.08923484319088566
formal,q2,terminal_05,2025-04,1021114.1740347242,87601.26650890414,0.08578988396837703
formal,q2,terminal_05,2025-05,1093409.1531549604,131495.18470465206,0.12026164617813133
formal,q2,terminal_05,2025-06,1559221.1917616639,227778.86443249267,0.1460850234950565
formal,q2,terminal_05,2025-07,1637741.8958106986,118213.05938678159,0.07218051860868159
formal,q2,terminal_05,2025-08,1401946.8134544438,91871.63739890236,0.06553147132060422
formal,q2,terminal_05,2025-09,1257099.1179704964,112467.25097628124,0.08946569874128318
formal,q2,terminal_05,2025-10,1221891.1176046454,111779.32552650411,0.09148059423300545
formal,q2,terminal_05,2025-11,1324768.8006414725,53298.01458638745,0.04023193674290923
formal,q2,terminal_05,2025-12,1799728.136676919,97487.84270140894,0.054168093899678596
formal,q2,terminal_15,2025-02,1271253.2714433179,26645.529121390955,0.020960047631687857
formal,q2,terminal_15,2025-03,1219470.4696263112,108911.87713769372,0.08931079501340296
formal,q2,terminal_15,2025-04,1020555.8414724634,87560.82114581873,0.08579718775553281
formal,q2,terminal_15,2025-05,1093972.7112923851,131325.96474051249,0.12004500970172108
formal,q2,terminal_15,2025-06,1557658.8215877379,227316.7001133989,0.14593484591297895
formal,q2,terminal_15,2025-07,1636764.0188680924,118145.11883465241,0.07218213344911865
formal,q2,terminal_15,2025-08,1401723.3774763711,91698.5576686961,0.06541844071530573
formal,q2,terminal_15,2025-09,1255893.8016562944,112261.21122097917,0.08938750320522894
formal,q2,terminal_15,2025-10,1219917.7923151446,111746.95371937912,0.09160203615631113
formal,q2,terminal_15,2025-11,1322561.8308879454,53218.854665554114,0.04023921863057539
formal,q2,terminal_15,2025-12,1795177.786676919,97487.84270140894,0.054305397172872874
formal,q3,horizon_12,2025-02,1378332.7403964947,143448.73590720983,0.10407409742435995
formal,q3,horizon_12,2025-03,1311628.5975533943,176850.0813623809,0.1348324378503661
formal,q3,horizon_12,2025-04,1117912.3021629932,167843.28311798186,0.15013993744699847
formal,q3,horizon_12,2025-05,1161086.5575899763,186052.8123699058,0.16024026042992748
formal,q3,horizon_12,2025-06,1505305.5880305495,181989.0668461276,0.12089841975823065
formal,q3,horizon_12,2025-07,1719344.4187293597,204891.00976461035,0.1191681012440952
formal,q3,horizon_12,2025-08,1459264.5435184531,135211.5007116331,0.092657291861298
formal,q3,horizon_12,2025-09,1375299.1021962883,202496.2003330436,0.1472379353768694
formal,q3,horizon_12,2025-10,1335190.0303727482,209589.22457102325,0.15697332949116743
formal,q3,horizon_12,2025-11,1429783.446760486,151053.38934090704,0.10564773965117191
formal,q3,horizon_12,2025-12,1847941.0026439454,179147.8072617827,0.09694454909841094
formal,q3,horizon_18,2025-02,1377793.1810090616,143391.74979012966,0.10407349358857552
formal,q3,horizon_18,2025-03,1311337.7304482397,176568.24492172117,0.13464742211098193
formal,q3,horizon_18,2025-04,1116165.4521473655,167873.8252828028,0.1504022767949269
formal,q3,horizon_18,2025-05,1158506.2376763993,186471.15472791964,0.16095826562135943
formal,q3,horizon_18,2025-06,1504118.3910803853,181942.08117000762,0.12096260656670875
formal,q3,horizon_18,2025-07,1715766.9356429505,202711.01387415448,0.11814600786568512
formal,q3,horizon_18,2025-08,1460533.809307646,135706.18000034118,0.09291546634218045
formal,q3,horizon_18,2025-09,1375349.570239183,201937.12538939418,0.14682603591047466
formal,q3,horizon_18,2025-10,1333945.9080391766,209384.11355908742,0.15696597013207977
