phase,mode,variant,days,intervals,total_cost_yuan,emergency_kwh,emergency_cost_yuan,emergency_cost_share,unused_surplus_kwh,throughput_kwh,net_adjustment_yuan,sequential_cost_yuan,initial_soc,terminal_soc,solves,solver_seconds,median_seconds,p95_seconds,max_seconds,simulation_seconds,audit_seconds,failures,max_lp_residual,min_actual_scenarios,max_actual_scenarios,max_physical_residual,passed,export_seconds
formal,q3,horizon_12,334,48096,15641088.329954688,461812.2449225506,1938573.1115866061,0.12394106283985305,3223888.3366361912,12565813.472195705,-85135.40118850296,16730593.382212328,6000.0,6000.0,1336,73.17245555107365,0.03992985450076958,0.15138079199959975,0.29329020799923455,96.80364341699897,5.621213625001474,0,2.8990143619012088e-12,20,20,1.8189894035458565e-12,True,22.134093292001126
formal,q3,horizon_18,334,48096,15629281.919937855,460312.2349735345,1935911.6152507658,0.12386439921984999,3214250.776545237,12546348.148557603,-94280.3148694949,15726599.589474294,6000.0,6000.0,1336,45.28485769895997,0.030565812500753964,0.054870197500349605,0.13193704100012837,57.209952875000454,5.306133999998565,0,2.8990143619012088e-12,20,20,1.8189894035458565e-12,True,18.253381624999747
formal,q3,horizon_24,334,48096,15632485.47660346,461512.7474726136,1939629.8756086575,0.1240768704702542,3213779.2002574643,12546497.532797396,-94795.01856178365,15728646.003742158,6000.0,6000.0,1336,46.33742250298019,0.034518040999500954,0.04022139574999528,0.11911970899927837,57.688791709000725,3.5027666250007314,0,2.8990143619012088e-12,20,20,1.8189894035458565e-12,True,13.461324834001061
formal,q4_2,count10_span10,334,48096,15466223.939233495,272907.57469555124,1116243.6916436348,0.07217299426345664,3315158.9645759137,12739868.669408422,0.0,15466223.939233495,6000.0,6000.0,334,9.269483964992105,0.02745110400064732,0.034198964698498445,0.04791783399923588,13.960123292001299,2.3380195000008825,0,0.0,10,10,1.0231815394945443e-12,True,19.834689208000782
formal,q4_2,count10_span20,334,48096,15738133.473287817,306648.0841658701,1245482.318924739,0.07913786733596358,3515219.786791092,12771346.286929403,0.0,15738133.473287817,6000.0,6000.0,334,9.57534895898425,0.028229062500031432,0.03602756239970403,0.04453283399925567,14.85845212499953,2.6151376249999885,0,0.0,10,10,1.0231815394945443e-12,True,16.67949737500021
formal,q4_2,count40_span40,334,48096,15781917.90569722,323349.702389906,1294339.0043838974,0.08201405001078135,3525377.595319126,12752930.238489684,0.0,15781917.90569722,6000.0,6000.0,334,61.75844912300454,0.17482033299984323,0.33741221654954595,0.4969681660004426,76.97695583299901,2.927424499999688,0,1.1368683772161603e-13,30,40,1.0231815394945443e-12,True,17.414130749999458
formal,q4_2,raw_history,334,48096,17565908.44987022,340915.63015426934,1517428.1723970515,0.08638483894684436,6566918.820017979,13469302.458738824,0.0,17565908.44987022,6000.0,6000.0,334,18.726626964997195,0.05323450000014418,0.07052914134956152,0.19330779100164364,24.60385150000002,2.8444114579997404,0,0.0,20,20,1.0231815394945443e-12,True,16.040266459000122
formal,q4_2,reference,334,48096,15623134.832286313,301847.56977805536,1225008.840068472,0.07840992561473033,3397835.897210531,12735625.047678294,0.0,15623134.832286313,6000.0,6000.0,334,20.954387205991225,0.05397702050049702,0.0920249330991282,0.5359582499986573,28.434020374999818,2.3650572919996193,0,0.0,20,20,1.0231815394945443e-12,True,17.652427999999418
formal,q4_2,shuffle_20260913,334,48096,15662058.156504197,337690.7200444,1368403.7132454922,0.08737061882746339,3283333.014076342,12725326.503548563,0.0,15662058.156504197,6000.0,6000.0,334,25.443934209009967,0.0710564165001415,0.10987777084983462,0.24455099999977392,34.636462917000244,2.942869416998292,0,0.0,20,20,1.0231815394945443e-12,True,18.8964491250008
formal,q4_2,shuffle_20260914,334,48096,15651024.782315517,336663.3528174509,1357776.662420175,0.08675321145452154,3281225.095002249,12728696.869837407,0.0,15651024.782315517,6000.0,6000.0,334,11.50960746599776,0.03504416699979629,0.03791504999962853,0.04061879199980467,15.662780292001116,1.5868126250006753,0,1.1368683772161603e-13,20,20,1.0231815394945443e-12,True,11.050981083000806
