mode,comparison,difference_yuan,paired_days,block_days,bootstrap_replicates,ci_low,ci_high
q3,S1_minus_S0,-36706.33835359864,334,7,2000,-94800.29450385821,24743.496014340464
q3,S2_minus_S0,-123713.12006951768,334,7,2000,-184599.51431584466,-64757.46784927832
q3,S3_minus_S0,-123506.6098868908,334,7,2000,-183617.03823431305,-62973.55450885063
q4_3,S1_minus_S0,-59355.841811201266,334,7,2000,-120183.31663444059,9131.217363528738
q4_3,S2_minus_S0,-155354.47442073555,334,7,2000,-212721.58360501775,-91199.74629168709
q4_3,S3_minus_S0,-155342.72823705763,334,7,2000,-216836.95171177218,-92212.38087861754
