mode,scenario,model_arm,days,initial_soc_kwh,terminal_soc_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,final_relative_cost_yuan,sequential_cost_yuan,emergency_kwh,unused_surplus_kwh,solver_seconds,solver_runs,max_balance_residual_kwh,max_soc_residual_kwh,constraint_violation_count,solver_method,tiebreak
q3,S3,all_three,334,6000.0,6000.0,12242712.533235967,727140.2436584198,3692285.887317219,16662138.664211605,16457572.004125766,914394.1682122811,2513557.3865594007,448.7638042759845,1336,6.947528971876527e-13,3.524291969370097e-12,0,highs-ds,1e-09
q3,S3,all_three,334,6000.0,6000.0,12242712.533235965,727373.7940461383,3692283.604066463,16662369.931348568,16457569.72087501,914349.2687495239,2516236.9988004416,447.10103953898033,1336,2.7284841053187847e-12,1.311946107307449e-10,0,highs-ds,1e-08
q3,S3,all_three,334,6000.0,6000.0,12243347.239862805,757008.2403449961,3689550.173648004,16689905.653855806,16455150.81174726,909774.8185667407,2526009.688947388,1101.1644306209964,1336,7.958078640513122e-13,1.0231815394945443e-12,0,highs-ipm,1e-10
q3,S3,all_three,334,6000.0,6000.0,12243342.874833683,757157.5257623831,3692655.3399152206,16693155.740511287,16458251.612985356,910519.8269488023,2526687.5611195657,1086.4961252470403,1336,2.0210993372731735e-12,1.0231815394945443e-12,0,highs-ipm,1e-09
q3,S3,all_three,334,6000.0,6000.0,12243349.38991687,757125.7604441867,3691648.5363725945,16692123.686733652,16457251.324525917,910220.5917202126,2526755.3136978634,1001.4401806000005,1336,3.03164900590976e-12,1.0231815394945443e-12,0,highs-ipm,1e-08
q4_3,S2,all_three,334,6000.0,6000.000000000002,12897367.337039903,758674.8543917802,3883698.7856259225,17539740.977057606,17332483.851457845,914049.6888288268,2514530.1538231634,324.8373020300023,1002,1.2505552149377763e-12,2.7284841053187847e-12,0,highs,1e-10
q4_3,S2,all_three,334,6000.0,6000.000000000002,12897367.337039903,758661.7998453712,3883698.7856259225,17539727.922511198,17332483.851457845,914049.6888288268,2514483.0510037187,253.7808579799821,1002,1.2505552149377763e-12,2.7284841053187847e-12,0,highs,1e-09
q4_3,S2,all_three,334,6000.0,6000.000000000002,12897367.337039903,758774.5157747514,3883965.342795343,17540107.195609998,17332750.408627264,914217.717888829,2517397.426973726,271.54899969195503,1002,1.290345608140342e-11,2.5011104298755527e-11,0,highs,1e-08
q4_3,S2,all_three,334,6000.0,6000.000000000002,12897367.337039903,758674.8543917802,3883698.7856259225,17539740.977057606,17332483.851457845,914049.6888288268,2514530.1538231634,261.1423217570027,1002,1.2505552149377763e-12,2.7284841053187847e-12,0,highs-ds,1e-10
q4_3,S2,all_three,334,6000.0,6000.000000000002,12897367.337039903,758661.7998453712,3883698.7856259225,17539727.922511198,17332483.851457845,914049.6888288268,2514483.0510037187,266.34435078598835,1002,1.2505552149377763e-12,2.7284841053187847e-12,0,highs-ds,1e-09
q4_3,S2,all_three,334,6000.0,6000.000000000002,12897367.337039903,758774.5157747514,3883965.342795343,17540107.195609998,17332750.408627264,914217.717888829,2517397.426973726,247.17225151200728,1002,1.290345608140342e-11,2.5011104298755527e-11,0,highs-ds,1e-08
q4_3,S2,all_three,334,6000.0,6000.000000000002,12898053.535785135,792011.6679098423,3863683.7870685603,17553748.990763538,17312902.504186586,909257.6856035572,2525073.803595376,555.6482677609583,1002,9.094947017729282e-13,1.0231815394945443e-12,0,highs-ipm,1e-10
q4_3,S2,all_three,334,6000.0,6000.000000000002,12898064.813998666,791927.8730504821,3860892.2640407667,17550884.951089915,17310122.259372324,908603.0090022045,2525689.660016932,554.2299178750145,1002,6.821210263296962e-13,1.0231815394945443e-12,0,highs-ipm,1e-09
q4_3,S2,all_three,334,6000.0,6000.000000000002,12897997.7242788,791899.7384479482,3863553.613595373,17553451.076322123,17312716.519207064,909229.7722196055,2525773.209006417,550.4138308079637,1002,7.452803806194822e-13,1.5347723092418164e-12,0,highs-ipm,1e-08
q4_3,S3,all_three,334,6000.0,6000.000000000002,12897308.484980645,759898.9523816655,3881868.135145026,17539075.572507337,17337192.32655479,913745.481770696,2514366.5817015055,229.97650496501592,1336,6.596643670266608e-13,6.480149750132114e-12,0,highs,1e-10
q4_3,S3,all_three,334,6000.0,6000.000000000002,12897308.484980645,759885.8978352564,3881868.135145026,17539062.517960925,17337192.32655479,913745.481770696,2514319.4788820613,187.06429926594865,1336,6.596643670266608e-13,6.480149750132114e-12,0,highs,1e-09
q4_3,S3,all_three,334,6000.0,6000.000000000002,12897308.484980645,760000.6966237171,3881594.1639575665,17538903.34556193,17336918.355367333,913823.1533106521,2517347.2261824203,187.9131420589183,1336,1.290345608140342e-11,2.5011104298755527e-11,0,highs,1e-08
q4_3,S3,all_three,334,6000.0,6000.000000000002,12897308.484980645,759898.9523816655,3881868.135145026,17539075.572507337,17337192.32655479,913745.481770696,2514366.5817015055,187.3136854980403,1336,6.596643670266608e-13,6.480149750132114e-12,0,highs-ds,1e-10
q4_3,S3,all_three,334,6000.0,6000.000000000002,12897308.484980645,759885.8978352564,3881868.135145026,17539062.517960925,17337192.32655479,913745.481770696,2514319.4788820613,189.11222041187284,1336,6.596643670266608e-13,6.480149750132114e-12,0,highs-ds,1e-09
q4_3,S3,all_three,334,6000.0,6000.000000000002,12897308.484980645,760000.6966237171,3881594.1639575665,17538903.34556193,17336918.355367333,913823.1533106521,2517347.2261824203,211.3604309700022,1336,1.290345608140342e-11,2.5011104298755527e-11,0,highs-ds,1e-08
q4_3,S3,all_three,334,6000.0,6000.000000000002,12897996.664944809,792752.3949623345,3863199.827217402,17553948.887124546,17318959.6511322,909419.9048878981,2524625.0078360005,609.0103082769419,1336,3.03164900590976e-12,1.0231815394945443e-12,0,highs-ipm,1e-10
q4_3,S3,all_three,334,6000.0,6000.000000000002,12898006.240969274,792735.5319227849,3861004.9020069176,17551746.67489898,17316774.30194618,908734.8329805535,2525223.2494485877,610.509653952955,1336,1.2505552149377763e-12,1.0231815394945443e-12,0,highs-ipm,1e-09
q4_3,S3,all_three,334,6000.0,6000.000000000002,12897943.748674085,792741.1680322528,3863074.6102431505,17553759.526949488,17318781.517887227,909222.3078969185,2525205.3220795398,615.6842178111256,1336,3.03164900590976e-12,1.0231815394945443e-12,0,highs-ipm,1e-08
