mode,date,issue,parameter,ratio,parameter_value,base_objective,objective,objective_change_pct,grid_l1_kwh,soc_max_change_kwh,balance_residual,soc_residual
q3,2025-06-21,12,terminal_multiplier,1.2,1.2,33805.49822165821,33805.49822165821,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-06-21,12,power_kw,0.8,4000.0,33805.49822165821,34296.7036648146,1.4530341778595377,5770.955100000003,1650.0,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-06-21,12,power_kw,0.9,4500.0,33805.49822165821,33940.342239923426,0.39888191376759147,2965.6282666666666,825.0,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-06-21,12,power_kw,1.0,5000.0,33805.49822165821,33805.49822165821,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-06-21,12,power_kw,1.1,5500.0,33805.49822165821,33785.476416005295,-0.05922647707078683,1736.0768624999969,300.0,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-06-21,12,power_kw,1.2,6000.0,33805.49822165821,33766.46808267199,-0.11545500300070256,3381.9205472222197,600.0,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-06-21,18,terminal_multiplier,0.8,0.8,43554.17407471183,42779.118074711834,-1.7795217484103527,0.0,0.0,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-06-21,18,terminal_multiplier,0.9,0.9,43554.17407471183,43166.64607471183,-0.8897608742051805,0.0,0.0,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-06-21,18,terminal_multiplier,1.0,1.0,43554.17407471183,43554.17407471183,0.0,0.0,0.0,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-06-21,18,terminal_multiplier,1.1,1.1,43554.17407471183,43641.825360993724,0.20124658116932184,4578.705680727022,4800.0,2.2737367544323206e-13,7.958078640513122e-13
q3,2025-06-21,18,terminal_multiplier,1.2,1.2,43554.17407471183,43641.825360993724,0.20124658116932184,4578.705680727022,4800.0,2.2737367544323206e-13,7.958078640513122e-13
q3,2025-06-21,18,power_kw,0.8,4000.0,43554.17407471183,44138.667135119904,1.3419909178060565,8490.714595878944,1650.0,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-06-21,18,power_kw,0.9,4500.0,43554.17407471183,43749.871697809875,0.4493200187020989,4102.303418364193,825.0,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-06-21,18,power_kw,1.0,5000.0,43554.17407471183,43554.17407471183,0.0,0.0,0.0,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-06-21,18,power_kw,1.1,5500.0,43554.17407471183,43483.97209156171,-0.1611831348924238,3054.7241078875127,525.0,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-06-21,18,power_kw,1.2,6000.0,43554.17407471183,43432.132428117475,-0.28020654549667007,5380.290596622084,900.0,4.547473508864641e-13,9.094947017729282e-13
